custom_var_v1,idaction_url,idvisit
1306,2298,537
1306,1966,537
1306,1266,537
1306,1267,537
1306,1268,537
1306,1726,537
1306,1727,537
1306,1685,537
1306,1686,537
1306,1687,537
1306,1688,537
1306,1313,537
1306,1314,537
1306,1687,537
1306,1688,537
1306,1685,537
1306,1686,537
1306,1313,537
1306,1314,537
1306,2003,537
1306,2004,537
1306,2315,537
1306,2316,537
1306,1716,537
1306,1717,537
1306,1728,537
1306,1729,537
1306,1730,537
1306,1732,537
1306,1510,537
1306,1511,537
1306,1989,537
1306,1991,537
1306,1816,537
1306,1817,537
1306,1818,537
1306,1819,537
1306,1307,537
1306,1308,537
1306,1812,537
1306,1813,537
1306,1966,537
1306,1966,537
1306,1934,537
1306,1935,537
1306,1936,537
1306,1937,537
1306,1966,537
1306,1966,537
1306,1966,537
1306,1966,537
1306,1582,537
1306,1583,537
1306,1966,537
1306,1966,537
1306,1966,537
1306,1584,537
1306,1585,537
1306,1966,537
1306,1966,537
1306,1966,537
1306,1966,537
1306,2298,887
1306,2192,887
1306,2436,887
1306,2298,942
1306,2192,942
1306,2436,942
1306,1261,942
1306,2298,942
1344,2327,329
1344,1820,329
1344,2328,329
1344,2275,329
1344,2275,329
1344,1264,329
1344,2322,329
1344,2333,329
1344,2334,329
1344,2347,329
1344,2348,329
1344,2349,329
1344,2350,329
1344,1968,329
1344,2347,329
1344,2348,329
1344,2349,329
1344,2350,329
1344,2351,329
1344,2352,329
1344,2344,329
1344,2353,329
1344,2364,329
1344,2365,329
1344,2366,329
1344,2367,329
1344,1261,329
1344,1262,329
1344,2319,329
1344,2322,329
1344,2329,329
1344,2354,329
1344,2355,329
1344,2329,329
1344,2319,330
1344,2275,330
1344,2319,330
1344,2319,330
1344,2356,330
1344,2357,330
1344,2354,330
1344,2355,330
1344,2356,330
1344,2357,330
1344,2358,330
1344,2359,330
1344,2360,330
1344,2361,330
1344,2319,330
1344,2362,330
1344,2363,330
1344,2319,330
1344,2480,330
1344,2481,330
1344,1698,330
1344,1699,330
1344,1700,330
1344,1266,330
1344,2275,330
1344,2362,330
1344,2363,330
1344,2480,330
1344,2481,330
1344,1698,330
1344,1699,330
1344,2163,330
1344,2275,330
1344,2362,330
1344,2363,330
1344,2480,330
1344,2481,330
1344,1698,330
1344,1699,330
1344,1703,330
1344,1704,330
1344,2275,330
1344,2368,330
1344,2369,330
1344,1264,330
1344,2434,330
1344,2435,330
1344,2440,330
1344,2441,330
1344,2434,330
1344,2435,330
1344,2440,330
1344,2441,330
1344,2370,330
1344,2371,330
1344,2551,330
1344,2552,330
1344,1826,330
1344,1827,330
1344,2553,330
1344,2554,330
1344,2372,330
1344,2373,330
1344,1264,330
1344,2322,330
1344,2347,330
1344,2348,330
1344,2349,330
1344,2350,330
1344,2351,330
1344,2352,330
1344,2364,330
1344,2365,330
1344,2354,330
1344,2355,330
1344,2360,330
1344,2361,330
1344,2362,330
1344,2363,330
1344,2370,330
1344,2371,330
1344,2372,330
1344,2373,330
1344,2374,330
1344,2375,330
1344,2372,330
1344,2373,330
1344,2374,330
1344,2375,330
1344,2555,330
1344,2556,330
1344,1281,330
1344,1282,330
1344,1297,330
1344,1298,330
1344,1838,330
1344,1839,330
1344,2380,330
1344,2381,330
1344,2557,330
1344,2558,330
1344,2516,330
1344,2517,330
1344,2529,330
1344,2530,330
1344,1828,330
1344,1829,330
1344,1830,330
1344,1831,330
1344,1832,330
1344,1833,330
1344,2559,330
1344,2560,330
1344,2531,330
1344,2532,330
1344,2561,330
1344,2533,330
1344,1301,330
1344,1302,330
1344,2562,330
1344,2562,330
1344,2563,330
1344,2561,330
1344,2533,330
1344,1303,330
1344,1304,330
1344,2562,330
1344,2563,330
1344,2561,330
1344,2533,330
1344,1316,330
1344,1317,330
1344,2562,330
1344,2563,330
1344,2322,330
1344,2457,330
1344,2458,330
1344,2459,330
1344,2460,330
1344,1796,330
1344,1797,330
1344,1798,330
1344,1799,330
1344,2462,330
1344,2463,330
1344,2333,330
1344,2334,330
1344,2347,330
1344,2348,330
1344,2349,330
1344,2350,330
1344,2351,330
1344,2352,330
1344,2322,330
1344,2344,330
1344,2353,330
1344,2464,330
1344,2465,330
1344,1692,330
1344,1693,330
1344,1694,330
1344,1695,330
1344,2005,330
1344,2322,330
1344,2478,330
1344,2479,330
1344,2329,330
1344,2534,330
1344,2535,330
1344,2536,330
1344,2537,330
1344,2322,330
1344,2484,330
1344,2329,330
1344,2538,330
1344,2539,330
1344,2540,330
1344,2541,330
1344,2329,330
1344,2670,330
1344,2671,330
1344,2672,330
1344,2673,330
1344,2329,330
1344,2544,330
1344,2545,330
1344,2327,353
1344,1261,353
1344,1262,353
1344,2319,353
1344,2275,353
1344,1264,353
1344,2569,353
1344,2570,353
1344,2571,353
1344,2572,353
1344,2573,353
1344,2574,353
1344,2575,353
1344,2576,353
1344,2577,353
1344,2578,353
1344,2575,353
1344,2576,353
1344,2573,353
1344,2574,353
1344,2577,353
1344,2578,353
1344,2699,353
1344,2700,353
1344,1320,353
1344,1321,353
1344,2769,353
1344,2770,353
1344,2699,353
1344,2700,353
1344,1322,353
1344,1323,353
1344,1324,353
1344,1325,353
1344,1326,353
1344,1327,353
1344,1328,353
1344,1329,353
1344,1330,353
1344,1331,353
1344,1332,353
1344,1333,353
1344,1334,353
1344,1335,353
1344,2583,353
1344,2584,353
1344,1659,353
1344,1660,353
1344,2708,353
1344,2709,353
1344,2710,353
1344,2711,353
1344,2712,353
1344,2713,353
1344,2595,353
1344,2596,353
1344,2589,353
1344,2590,353
1344,1655,353
1344,1656,353
1344,2710,353
1344,2711,353
1344,2589,353
1344,2590,353
1344,1653,353
1344,1654,353
1344,2710,353
1344,2711,353
1344,2589,353
1344,2590,353
1344,1651,353
1344,1652,353
1344,2710,353
1344,2711,353
1344,2712,353
1344,2713,353
1344,1338,353
1344,1339,353
1344,1340,353
1344,1341,353
1344,1342,353
1344,1343,353
1344,1344,353
1344,1345,353
1344,2595,353
1344,2596,353
1344,2597,353
1344,2598,353
1344,2518,353
1344,2519,353
1344,2771,353
1344,2772,353
1344,1834,353
1344,1835,353
1344,1647,353
1344,1648,353
1344,1645,353
1344,1646,353
1344,1643,353
1344,1644,353
1344,2773,353
1344,2774,353
1344,2599,353
1344,2600,353
1344,2601,353
1344,2602,353
1344,1639,353
1344,1640,353
1344,2718,353
1344,2719,353
1344,2714,353
1344,2715,353
1344,1842,353
1344,1843,353
1344,1844,353
1344,1845,353
1344,1846,353
1344,1847,353
1344,1848,353
1344,1849,353
1344,1850,353
1344,1851,353
1344,1852,353
1344,1853,353
1344,2605,353
1344,2606,353
1344,1264,353
1344,2322,353
1344,2544,353
1344,2545,353
1344,2564,353
1344,2550,353
1344,1661,353
1344,1662,353
1344,1665,353
1344,1666,353
1344,1663,353
1344,1664,353
1344,2514,353
1344,2515,353
1344,2775,353
1344,2776,353
1344,2322,353
1344,2484,353
1344,2676,353
1344,2677,353
1344,2329,353
1344,2447,353
1344,2275,353
1344,2775,353
1344,2776,353
1344,2676,353
1344,2677,353
1344,1264,353
1344,1264,353
1344,1264,353
1344,1264,353
1344,1264,353
1344,2319,356
1344,2275,356
1344,2775,356
1344,2776,356
1344,1264,356
1344,2676,356
1344,2677,356
1344,1264,356
1344,1264,356
1344,2447,356
1344,2777,356
1344,2778,356
1344,2693,356
1344,2694,356
1344,2322,356
1344,2484,356
1344,2329,356
1344,2775,356
1344,2776,356
1344,2676,356
1344,2677,356
1344,2777,356
1344,2778,356
1344,2693,356
1344,2694,356
1344,2779,356
1344,2780,356
1344,1856,356
1344,1857,356
1344,2781,356
1344,2782,356
1344,1635,356
1344,1636,356
1344,1672,356
1344,1673,356
1344,1674,356
1344,1675,356
1344,2758,356
1344,2329,356
1344,2327,397
1344,2329,397
1344,2322,397
1344,2484,397
1344,2328,397
1344,2275,397
1344,2693,397
1344,2694,397
1344,2695,397
1344,2696,397
1344,1635,397
1344,1636,397
1344,2790,397
1344,2791,397
1344,2720,397
1344,2721,397
1344,2722,397
1344,2723,397
1344,1858,397
1344,1859,397
1344,2328,397
1344,1860,397
1344,1861,397
1344,2328,397
1344,2328,397
1344,1862,397
1344,1863,397
1344,1864,397
1344,1865,397
1344,1866,397
1344,1867,397
1344,1866,397
1344,1867,397
1344,2792,397
1344,2793,397
1344,2794,397
1344,2795,397
1344,2796,397
1344,2797,397
1344,2798,397
1344,2799,397
1344,1683,397
1344,1684,397
1344,2800,397
1344,2801,397
1344,2802,397
1344,2803,397
1344,2328,397
1344,2804,397
1344,2805,397
1344,2806,397
1344,2807,397
1344,2682,397
1344,2683,397
1344,2328,397
1344,1264,397
1344,1264,397
1344,1264,397
1344,1264,397
1344,1264,397
1344,2404,397
1344,2405,397
1344,1264,397
1344,2319,421
1344,2275,421
1344,2806,421
1344,2807,421
1344,2682,421
1344,2683,421
1344,2404,421
1344,2404,421
1344,2405,421
1344,2808,421
1344,2809,421
1344,2810,421
1344,2811,421
1344,1264,421
1344,1870,421
1344,1871,421
1344,1872,421
1344,1873,421
1344,1872,421
1344,1873,421
1344,1874,421
1344,1875,421
1344,1876,421
1344,1877,421
1344,1878,421
1344,1879,421
1344,1880,421
1344,1881,421
1344,2812,421
1344,2813,421
1344,2810,421
1344,2811,421
1344,1870,421
1344,1871,421
1344,2812,421
1344,2813,421
1344,2814,421
1344,2815,421
1344,2816,421
1344,2817,421
1344,1884,421
1344,1885,421
1344,1886,421
1344,1887,421
1344,1888,421
1344,1889,421
1344,1888,421
1344,1889,421
1344,1890,421
1344,1891,421
1344,1892,421
1344,1893,421
1344,2818,421
1344,2819,421
1344,2820,421
1344,2821,421
1344,1264,421
1344,2822,421
1344,2823,421
1344,2123,421
1344,2124,421
1344,2125,421
1344,2126,421
1344,2824,421
1344,2825,421
1344,2826,421
1344,2827,421
1344,1264,421
1344,2828,421
1344,2829,421
1344,2830,421
1344,2831,421
1344,2832,421
1344,2833,421
1344,1264,421
1344,1264,421
1344,2834,421
1344,2835,421
1344,1902,421
1344,1903,421
1344,1904,421
1344,1905,421
1344,1906,421
1344,1907,421
1344,1908,421
1344,1909,421
1344,2836,421
1344,2837,421
1344,2838,421
1344,2839,421
1344,1264,421
1344,1264,421
1344,2840,421
1344,2841,421
1344,1914,421
1344,1915,421
1344,1916,421
1344,1917,421
1344,2973,421
1344,2974,421
1344,1920,421
1344,1921,421
1344,1922,421
1344,1923,421
1344,1920,421
1344,1921,421
1344,1922,421
1344,1923,421
1344,2848,421
1344,2849,421
1344,2850,421
1344,2851,421
1344,2852,421
1344,2853,421
1344,1924,421
1344,1925,421
1344,2854,421
1344,2855,421
1344,2856,421
1344,2857,421
1344,2975,421
1344,2976,421
1344,2856,421
1344,2857,421
1344,2858,421
1344,2859,421
1344,1264,421
1344,2322,421
1344,2320,421
1344,2321,421
1344,2860,421
1344,2861,421
1344,1802,421
1344,1803,421
1344,1804,421
1344,1805,421
1344,2862,421
1344,2863,421
1344,1773,421
1344,1774,421
1344,2864,421
1344,2865,421
1344,2866,421
1344,2867,421
1344,2872,421
1344,2873,421
1344,1786,421
1344,1787,421
1344,2874,421
1344,2875,421
1344,1777,421
1344,1778,421
1344,2758,421
1344,2329,421
1344,2322,421
1344,2484,421
1344,2319,438
1344,1264,438
1344,2322,438
1344,2484,438
1344,2319,576
1344,2275,576
1344,1264,576
1344,2424,576
1344,3055,576
1344,1293,576
1344,3055,576
1344,1293,576
1344,3145,576
1344,2327,838
1344,2329,838
1344,2322,838
1344,2484,838
1344,2327,868
1344,2321,868
1344,3263,868
1344,2321,868
1344,3145,868
1344,1293,868
1344,2320,868
1344,2328,868
1344,2750,868
1344,3496,868
1344,3472,868
1344,3107,868
1344,3109,868
1497,2319,274
1497,2275,274
1497,2333,274
1497,2334,274
1497,2347,274
1497,2348,274
1497,2349,274
1497,2350,274
1497,2351,274
1497,2352,274
1497,2344,274
1497,2353,274
1497,2453,274
1497,2454,274
1497,2366,274
1497,2367,274
1497,2319,274
1497,2354,274
1497,2355,274
1497,2356,274
1497,2357,274
1497,2455,274
1497,2456,274
1497,2319,274
1497,2360,274
1497,2361,274
1497,2362,274
1497,2363,274
1497,2457,274
1497,2458,274
1497,2333,274
1497,2334,274
1497,2457,274
1497,2458,274
1497,2459,274
1497,2460,274
1497,1796,274
1497,1797,274
1497,1798,274
1497,1799,274
1497,2462,274
1497,2463,274
1497,2333,274
1497,2334,274
1497,2347,274
1497,2348,274
1497,2349,274
1497,2350,274
1497,2351,274
1497,2352,274
1497,2344,274
1497,2353,274
1497,2464,274
1497,2465,274
1497,1692,274
1497,1693,274
1497,2319,274
1497,2319,274
1497,2319,274
1497,2319,274
1497,1694,274
1497,1695,274
1497,2002,274
1497,2005,274
1497,2319,274
1497,2478,274
1497,2479,274
1497,2364,274
1497,2365,274
1497,2366,274
1497,2367,274
1497,2319,274
1497,2354,274
1497,2355,274
1497,2356,274
1497,2357,274
1497,2358,274
1497,2359,274
1497,2360,274
1497,2361,274
1497,2362,274
1497,2363,274
1497,2480,274
1497,2481,274
1497,1698,274
1497,1699,274
1497,1700,274
1497,2163,274
1497,1702,274
1497,689,274
1497,2007,274
1497,2008,274
1497,2319,274
1497,1703,274
1497,1704,274
1497,576,274
1497,2009,274
1497,2010,274
1497,2011,274
1497,2012,274
1497,2013,274
1497,2482,274
1497,2483,274
1497,2320,274
1497,1288,274
1497,2321,274
1497,2322,274
1497,2484,274
1497,2485,274
1497,2321,274
1497,2145,274
1497,1261,274
1497,2193,274
1497,2193,274
1497,2193,274
1497,1261,274
1497,2319,309
1497,2275,309
1497,2319,309
1497,2319,309
1497,2319,309
1497,2319,309
1497,2319,309
1497,2368,309
1497,2369,309
1497,2434,309
1497,2435,309
1497,2319,309
1497,2319,309
1497,2319,309
1497,2319,309
1497,2440,309
1497,2441,309
1497,2370,309
1497,2371,309
1497,2319,309
1497,2551,309
1497,2552,309
1497,1826,309
1497,1827,309
1497,2553,309
1497,2554,309
1497,2372,309
1497,2373,309
1497,2320,309
1497,2321,309
1497,2322,309
1497,1261,309
1497,2327,309
1497,2319,349
1497,2275,349
1497,2374,349
1497,2375,349
1497,2555,349
1497,2556,349
1497,1281,349
1497,1282,349
1497,1297,349
1497,1298,349
1497,1838,349
1497,1839,349
1497,2380,349
1497,2381,349
1497,2557,349
1497,2558,349
1497,2516,349
1497,2517,349
1497,2529,349
1497,2530,349
1497,1828,349
1497,1829,349
1497,1830,349
1497,1831,349
1497,1832,349
1497,1833,349
1497,2559,349
1497,2560,349
1497,2531,349
1497,2532,349
1497,2561,349
1497,2533,349
1497,1301,349
1497,1302,349
1497,2562,349
1497,2563,349
1497,2561,349
1497,2533,349
1497,1303,349
1497,1304,349
1497,2562,349
1497,2563,349
1497,2561,349
1497,2533,349
1497,1316,349
1497,1317,349
1497,2319,349
1497,2562,349
1497,2563,349
1497,2374,349
1497,2375,349
1497,2376,349
1497,2377,349
1497,2557,349
1497,2558,349
1497,2534,349
1497,2535,349
1497,2536,349
1497,2537,349
1497,2538,349
1497,2539,349
1497,2320,349
1497,2321,349
1497,2322,349
1497,2319,359
1497,2275,359
1497,2540,359
1497,2541,359
1497,2544,359
1497,2545,359
1497,2564,359
1497,2550,359
1497,2514,359
1497,2515,359
1497,2564,359
1497,2550,359
1497,1661,359
1497,1662,359
1497,1665,359
1497,1666,359
1497,1663,359
1497,1664,359
1497,2514,359
1497,2515,359
1497,2569,359
1497,2570,359
1497,2319,359
1497,2571,359
1497,2572,359
1497,2573,359
1497,2574,359
1497,2575,359
1497,2576,359
1497,2540,359
1497,2541,359
1497,2670,359
1497,2671,359
1497,2672,359
1497,2673,359
1497,2670,359
1497,2671,359
1497,2672,359
1497,2673,359
1497,2670,359
1497,2671,359
1497,2672,359
1497,2673,359
1497,2670,359
1497,2671,359
1497,2319,359
1497,2672,359
1497,2673,359
1497,2577,359
1497,2578,359
1497,2699,359
1497,2700,359
1497,1320,359
1497,1321,359
1497,1322,359
1497,1323,359
1497,1324,359
1497,1325,359
1497,1326,359
1497,1327,359
1497,1328,359
1497,1329,359
1497,1330,359
1497,1331,359
1497,1332,359
1497,1333,359
1497,1334,359
1497,1335,359
1497,2769,359
1497,2770,359
1497,2579,359
1497,2580,359
1497,1659,359
1497,1660,359
1497,2585,359
1497,2586,359
1497,2587,359
1497,2588,359
1497,2589,359
1497,2590,359
1497,1655,359
1497,1656,359
1497,2710,359
1497,2711,359
1497,2589,359
1497,2590,359
1497,1653,359
1497,1654,359
1497,1651,359
1497,1652,359
1497,2710,359
1497,2711,359
1497,2589,359
1497,2590,359
1497,1651,359
1497,1652,359
1497,2319,359
1497,2591,359
1497,2592,359
1497,1338,359
1497,1339,359
1497,1340,359
