id_usuario,idaction_url,number_repeats,larger_distance_between_repeats
1306,1966,5,40
1306,1266,1,0
1306,1267,1,0
1306,1268,1,0
1306,1726,1,0
1306,1727,1,0
1306,1685,2,8
1306,1686,2,8
1306,1687,2,4
1306,1688,2,4
1306,1313,2,6
1306,1314,2,6
1306,2003,1,0
1306,2004,1,0
1306,2315,1,0
1306,2316,1,0
1306,1716,1,0
1306,1717,1,0
1306,1728,1,0
1306,1729,1,0
1306,1730,1,0
1306,1732,1,0
1306,1510,1,0
1306,1511,1,0
1306,1989,1,0
1306,1991,1,0
1306,1816,1,0
1306,1817,1,0
1306,1818,1,0
1306,1819,1,0
1306,1307,1,0
1306,1308,1,0
1306,1812,1,0
1306,1813,1,0
1306,1934,1,0
1306,1935,1,0
1306,1936,1,0
1306,1937,1,0
1306,1582,1,0
1306,1583,1,0
1306,1584,1,0
1306,1585,1,0
1306,2192,2,2
1306,2436,2,2
1306,1261,1,0
1306,2298,1,0
1344,1820,1,0
1344,2328,7,406
1344,2275,11,155
1344,1264,18,126
1344,2322,15,179
1344,2333,2,169
1344,2334,2,169
1344,2347,4,83
1344,2348,4,83
1344,2349,4,83
1344,2350,4,83
1344,1968,1,0
1344,2351,3,83
1344,2352,3,83
1344,2344,2,165
1344,2353,2,165
1344,2364,2,81
1344,2365,2,81
1344,2366,1,0
1344,2367,1,0
1344,1261,2,191
1344,1262,2,191
1344,2319,5,170
1344,2329,11,206
1344,2354,3,67
1344,2355,3,67
1344,2356,2,4
1344,2357,2,4
1344,2358,1,0
1344,2359,1,0
1344,2360,2,63
1344,2361,2,63
1344,2362,4,44
1344,2363,4,44
1344,2480,3,9
1344,2481,3,9
1344,1698,3,9
1344,1699,3,9
1344,1700,1,0
1344,1266,1,0
1344,2163,1,0
1344,1703,1,0
1344,1704,1,0
1344,2368,1,0
1344,2369,1,0
1344,2434,2,4
1344,2435,2,4
1344,2440,2,4
1344,2441,2,4
1344,2370,2,26
1344,2371,2,26
1344,2551,1,0
1344,2552,1,0
1344,1826,1,0
1344,1827,1,0
1344,2553,1,0
1344,2554,1,0
1344,2372,3,20
1344,2373,3,20
1344,2374,2,4
1344,2375,2,4
1344,2555,1,0
1344,2556,1,0
1344,1281,1,0
1344,1282,1,0
1344,1297,1,0
1344,1298,1,0
1344,1838,1,0
1344,1839,1,0
1344,2380,1,0
1344,2381,1,0
1344,2557,1,0
1344,2558,1,0
1344,2516,1,0
1344,2517,1,0
1344,2529,1,0
1344,2530,1,0
1344,1828,1,0
1344,1829,1,0
1344,1830,1,0
1344,1831,1,0
1344,1832,1,0
1344,1833,1,0
1344,2559,1,0
1344,2560,1,0
1344,2531,1,0
1344,2532,1,0
1344,2561,3,6
1344,2533,3,6
1344,1301,1,0
1344,1302,1,0
1344,2562,3,6
1344,2563,3,6
1344,1303,1,0
1344,1304,1,0
1344,1316,1,0
1344,1317,1,0
1344,2457,1,0
1344,2458,1,0
1344,2459,1,0
1344,2460,1,0
1344,1796,1,0
1344,1797,1,0
1344,1798,1,0
1344,1799,1,0
1344,2462,1,0
1344,2463,1,0
1344,2464,1,0
1344,2465,1,0
1344,1692,1,0
1344,1693,1,0
1344,1694,1,0
1344,1695,1,0
1344,2005,1,0
1344,2478,1,0
1344,2479,1,0
1344,2534,1,0
1344,2535,1,0
1344,2536,1,0
1344,2537,1,0
1344,2484,7,206
1344,2538,1,0
1344,2539,1,0
1344,2540,1,0
1344,2541,1,0
1344,2670,1,0
1344,2671,1,0
1344,2672,1,0
1344,2673,1,0
1344,2544,2,129
1344,2545,2,129
1344,2569,1,0
1344,2570,1,0
1344,2571,1,0
1344,2572,1,0
1344,2573,2,8
1344,2574,2,8
1344,2575,2,4
1344,2576,2,4
1344,2577,2,6
1344,2578,2,6
1344,2699,2,6
1344,2700,2,6
1344,1320,1,0
1344,1321,1,0
1344,2769,1,0
1344,2770,1,0
1344,1322,1,0
1344,1323,1,0
1344,1324,1,0
1344,1325,1,0
1344,1326,1,0
1344,1327,1,0
1344,1328,1,0
1344,1329,1,0
1344,1330,1,0
1344,1331,1,0
1344,1332,1,0
1344,1333,1,0
1344,1334,1,0
1344,1335,1,0
1344,2583,1,0
1344,2584,1,0
1344,1659,1,0
1344,1660,1,0
1344,2708,1,0
1344,2709,1,0
1344,2710,4,10
1344,2711,4,10
1344,2712,2,22
1344,2713,2,22
1344,2595,2,30
1344,2596,2,30
1344,2589,3,6
1344,2590,3,6
1344,1655,1,0
1344,1656,1,0
1344,1653,1,0
1344,1654,1,0
1344,1651,1,0
1344,1652,1,0
1344,1338,1,0
1344,1339,1,0
1344,1340,1,0
1344,1341,1,0
1344,1342,1,0
1344,1343,1,0
1344,1344,1,0
1344,1345,1,0
1344,2597,1,0
1344,2598,1,0
1344,2518,1,0
1344,2519,1,0
1344,2771,1,0
1344,2772,1,0
1344,1834,1,0
1344,1835,1,0
1344,1647,1,0
1344,1648,1,0
1344,1645,1,0
1344,1646,1,0
1344,1643,1,0
1344,1644,1,0
1344,2773,1,0
1344,2774,1,0
1344,2599,1,0
1344,2600,1,0
1344,2601,1,0
1344,2602,1,0
1344,1639,1,0
1344,1640,1,0
1344,2718,1,0
1344,2719,1,0
1344,2714,1,0
1344,2715,1,0
1344,1842,1,0
1344,1843,1,0
1344,1844,1,0
1344,1845,1,0
1344,1846,1,0
1344,1847,1,0
1344,1848,1,0
1344,1849,1,0
1344,1850,1,0
1344,1851,1,0
1344,1852,1,0
1344,1853,1,0
1344,2605,1,0
1344,2606,1,0
1344,2564,1,0
1344,2550,1,0
1344,1661,1,0
1344,1662,1,0
1344,1665,1,0
1344,1666,1,0
1344,1663,1,0
1344,1664,1,0
1344,2514,1,0
1344,2515,1,0
1344,2775,4,14
1344,2776,4,14
1344,2676,4,13
1344,2677,4,13
1344,2447,2,14
1344,2777,2,11
1344,2778,2,11
1344,2693,3,20
1344,2694,3,20
1344,2779,1,0
1344,2780,1,0
1344,1856,1,0
1344,1857,1,0
1344,2781,1,0
1344,2782,1,0
1344,1635,2,16
1344,1636,2,16
1344,1672,1,0
1344,1673,1,0
1344,1674,1,0
1344,1675,1,0
1344,2758,2,206
1344,2695,1,0
1344,2696,1,0
1344,2790,1,0
1344,2791,1,0
1344,2720,1,0
1344,2721,1,0
1344,2722,1,0
1344,2723,1,0
1344,1858,1,0
1344,1859,1,0
1344,1860,1,0
1344,1861,1,0
1344,1862,1,0
1344,1863,1,0
1344,1864,1,0
1344,1865,1,0
1344,1866,2,2
1344,1867,2,2
1344,2792,1,0
1344,2793,1,0
1344,2794,1,0
1344,2795,1,0
1344,2796,1,0
1344,2797,1,0
1344,2798,1,0
1344,2799,1,0
1344,1683,1,0
1344,1684,1,0
1344,2800,1,0
1344,2801,1,0
1344,2802,1,0
1344,2803,1,0
1344,2804,1,0
1344,2805,1,0
1344,2806,2,10
1344,2807,2,10
1344,2682,2,10
1344,2683,2,10
1344,2404,2,8
1344,2405,2,8
1344,2808,1,0
1344,2809,1,0
1344,2810,2,19
1344,2811,2,19
1344,1870,2,18
1344,1871,2,18
1344,1872,2,2
1344,1873,2,2
1344,1874,1,0
1344,1875,1,0
1344,1876,1,0
1344,1877,1,0
1344,1878,1,0
1344,1879,1,0
1344,1880,1,0
1344,1881,1,0
1344,2812,2,6
1344,2813,2,6
1344,2814,1,0
1344,2815,1,0
1344,2816,1,0
1344,2817,1,0
1344,1884,1,0
1344,1885,1,0
1344,1886,1,0
1344,1887,1,0
1344,1888,2,2
1344,1889,2,2
1344,1890,1,0
1344,1891,1,0
1344,1892,1,0
1344,1893,1,0
1344,2818,1,0
1344,2819,1,0
1344,2820,1,0
1344,2821,1,0
1344,2822,1,0
1344,2823,1,0
1344,2123,1,0
1344,2124,1,0
1344,2125,1,0
1344,2126,1,0
1344,2824,1,0
1344,2825,1,0
1344,2826,1,0
1344,2827,1,0
1344,2828,1,0
1344,2829,1,0
1344,2830,1,0
1344,2831,1,0
1344,2832,1,0
1344,2833,1,0
1344,2834,1,0
1344,2835,1,0
1344,1902,1,0
1344,1903,1,0
1344,1904,1,0
1344,1905,1,0
1344,1906,1,0
1344,1907,1,0
1344,1908,1,0
1344,1909,1,0
1344,2836,1,0
1344,2837,1,0
1344,2838,1,0
1344,2839,1,0
1344,2840,1,0
1344,2841,1,0
1344,1914,1,0
1344,1915,1,0
1344,1916,1,0
1344,1917,1,0
1344,2973,1,0
1344,2974,1,0
1344,1920,2,4
1344,1921,2,4
1344,1922,2,4
1344,1923,2,4
1344,2848,1,0
1344,2849,1,0
1344,2850,1,0
1344,2851,1,0
1344,2852,1,0
1344,2853,1,0
1344,1924,1,0
1344,1925,1,0
1344,2854,1,0
1344,2855,1,0
1344,2856,2,4
1344,2857,2,4
1344,2975,1,0
1344,2976,1,0
1344,2858,1,0
1344,2859,1,0
1344,2320,2,47
1344,2321,3,41
1344,2860,1,0
1344,2861,1,0
1344,1802,1,0
1344,1803,1,0
1344,1804,1,0
1344,1805,1,0
1344,2862,1,0
1344,2863,1,0
1344,1773,1,0
1344,1774,1,0
1344,2864,1,0
1344,2865,1,0
1344,2866,1,0
1344,2867,1,0
1344,2872,1,0
1344,2873,1,0
1344,1786,1,0
1344,1787,1,0
1344,2874,1,0
1344,2875,1,0
1344,1777,1,0
1344,1778,1,0
1344,2424,1,0
1344,3055,2,2
1344,1293,3,9
1344,3145,2,7
1344,3263,1,0
1344,2750,1,0
1344,3496,1,0
1344,3472,1,0
1344,3107,1,0
1344,3109,1,0
1497,2275,9,164
1497,2333,4,598
1497,2334,4,598
1497,2347,2,40
1497,2348,2,40
1497,2349,2,40
1497,2350,2,40
1497,2351,2,40
1497,2352,2,40
1497,2344,3,598
1497,2353,3,598
1497,2453,1,0
1497,2454,1,0
1497,2366,2,52
1497,2367,2,52
1497,2319,31,67
1497,2354,2,52
1497,2355,2,52
1497,2356,3,579
1497,2357,3,579
1497,2455,1,0
1497,2456,1,0
1497,2360,2,51
1497,2361,2,51
1497,2362,2,51
1497,2363,2,51
1497,2457,2,4
1497,2458,2,4
1497,2459,1,0
1497,2460,1,0
1497,1796,1,0
1497,1797,1,0
1497,1798,1,0
1497,1799,1,0
1497,2462,1,0
1497,2463,1,0
1497,2464,1,0
1497,2465,1,0
1497,1692,1,0
1497,1693,1,0
1497,1694,1,0
1497,1695,1,0
1497,2002,1,0
1497,2005,1,0
1497,2478,1,0
1497,2479,1,0
1497,2364,1,0
1497,2365,1,0
1497,2358,2,569
1497,2359,2,569
1497,2480,1,0
1497,2481,1,0
1497,1698,1,0
1497,1699,1,0
1497,1700,1,0
1497,2163,1,0
1497,1702,1,0
1497,689,1,0
1497,2007,1,0
1497,2008,1,0
1497,1703,1,0
1497,1704,1,0
1497,576,1,0
1497,2009,1,0
1497,2010,1,0
1497,2011,1,0
1497,2012,1,0
1497,2013,1,0
1497,2482,1,0
1497,2483,1,0
1497,2320,4,370
1497,1288,3,418
1497,2321,12,241
1497,2322,11,164
1497,2484,7,311
1497,2485,3,331
1497,2145,4,333
1497,1261,5,383
1497,2193,1,0
1497,2368,2,539
1497,2369,2,539
1497,2434,2,539
1497,2435,2,539
1497,2440,1,0
1497,2441,1,0
1497,2370,1,0
1497,2371,1,0
1497,2551,1,0
1497,2552,1,0
1497,1826,1,0
1497,1827,1,0
1497,2553,1,0
1497,2554,1,0
1497,2372,1,0
1497,2373,1,0
1497,2327,3,383
1497,2374,2,47
1497,2375,2,47
1497,2555,1,0
1497,2556,1,0
1497,1281,1,0
1497,1282,1,0
1497,1297,1,0
1497,1298,1,0
1497,1838,1,0
1497,1839,1,0
1497,2380,1,0
1497,2381,1,0
1497,2557,2,39
1497,2558,2,39
1497,2516,2,493
1497,2517,2,493
1497,2529,1,0
1497,2530,1,0
1497,1828,1,0
1497,1829,1,0
1497,1830,1,0
